"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3581","Test 1: Valid Login @UI","","2026-05-08","passed","2026-05-08","","ui/LoginTests.spec.ts","",""
"","5496","Missing Payload @API","","2026-05-08","passed","2026-05-08","","api/getUsers.spec.ts","",""
"","3418","Get Items From Cart @UI","","2026-05-08","passed","2026-05-08","","ui/CartTests.spec.ts","",""
"","6604","Invalid User Endpoint @API","","2026-05-08","passed","2026-05-08","","api/getUsers.spec.ts","",""
"","4010","Checkout Item @UI","","2026-05-08","passed","2026-05-08","","ui/CheckoutTests.spec.ts","",""
"","1466","add to cart @UI","","2026-05-08","passed","2026-05-08","","ui/InventoryTests.spec.ts","",""
"","3704","invalid user id @API","","2026-05-08","passed","2026-05-08","","api/getUsers.spec.ts","",""
"","2319","E2E Purchase Flow @UI","","2026-05-08","passed","2026-05-08","","ui/E2E_flow.spec.ts","",""
"","3256","Test 2: Invalid Login @UI","","2026-05-08","passed","2026-05-08","","ui/LoginTests.spec.ts","",""
"","3156","Test 3: Locked User Login @UI","","2026-05-08","passed","2026-05-08","","ui/LoginTests.spec.ts","",""
"","3434","Remove From Cart @UI","","2026-05-08","passed","2026-05-08","","ui/CartTests.spec.ts","",""
"","1852","sort product @UI","","2026-05-08","passed","2026-05-08","","ui/InventoryTests.spec.ts","",""
"","1137","get product list @UI","","2026-05-08","passed","2026-05-08","","ui/InventoryTests.spec.ts","",""
"","4726","API Flow @API","","2026-05-08","passed","2026-05-08","","api/getUsers.spec.ts","",""
